Fish ID,Fish_ID_year,Processed by,Processed on,Sample #,Year,Sampled on,Site,Treatment,Species code,Length,Wet Weight ,Gut weight,Group,Lowest taxonomic classification,Digestion,N,Notes,Photo ID,Entered by,Entered on
NEPaPC01-12,NEPaPC01-12-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,48,1.03,0.016,Fish,NA,NA,NA,Scales,NEPaPC01-008,MB,20220707
NEPaPC01-12,NEPaPC01-12-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,BAICHR,48,1.03,0.016,Sediment,NA,NA,NA,,NEPaPC01-008,MB,20220707
NEPaPC01-13,NEPaPC01-13-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,LEIXAN,76,4.76,0.088,Sediment,NA,NA,NA,,,MB,20220707
NEPaPC01-14,NEPaPC01-14-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,MICUND,201,106.19,2.73,Crustacean,Penaeidae,NA,NA,,NEPaPC01-009 thru 012,MB,20220707
NEPaPC01-14,NEPaPC01-14-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,MICUND,201,106.19,2.73,Crustacean,Crab,NA,NA,Legs,NEPaPC01-009 thru 012,MB,20220707
NEPaPC01-14,NEPaPC01-14-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,MICUND,201,106.19,2.73,Bivalve,NA,NA,NA,Shells,NEPaPC01-009 thru 012,MB,20220707
NEPaPC01-14,NEPaPC01-14-2022,"RB, MB, CL",20220630,NEPaPC01,2022,20220607,NEPaP,CT,MICUND,201,106.19,2.73,Sediment,NA,NA,NA,,NEPaPC01-009 thru 012,CL,20220708
NEPaPC01-15,NEPaPC01-15-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,BREPAT,87,5.98,0.48,Plankton,NA,NA,NA,,,CL,20220708
NEPaPC01-15,NEPaPC01-15-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,BREPAT,87,5.98,0.48,Unidentifiable,NA,NA,NA,,,SK,20220712
NEPaPC01-16,NEPaPC01-16-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,BREPAT,90,5.57,0.53,Unidentifiable,NA,NA,NA,,,CL,20220708
NEPaPC01-16,NEPaPC01-16-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,BREPAT,90,5.57,0.53,Plankton,NA,NA,NA,,,SK,20220712
NEPaPC01-17,NEPaPC01-17-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,31,0.69,0.024,Crustacean,Megalopae,NA,NA,Larvae,NEPaPC01-013,CL,20220708
NEPaPC01-17,NEPaPC01-17-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,31,0.69,0.024,Crustacean,NA,NA,NA,appendages,,SK,20220712
NEPaPC01-17,NEPaPC01-17-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,31,0.69,0.024,SAV,NA,NA,NA,Seagrass,NEPaPC01-014,CL,20220708
NEPaPC01-17,NEPaPC01-17-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,31,0.69,0.024,Amphipod,Gammaridae,NA,NA,Gammarid,NEPaPC01-015,CL,20220708
NEPaPC01-18,NEPaPC01-18-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,27,0.42,0.012,Crustacean,Crab,NA,NA,"Claw, carapace fragments",NEPaPC01-016,CL,20220708
NEPaPC01-18,NEPaPC01-18-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,27,0.42,0.012,Isopod,NA,NA,NA,Fragments,,CL,20220708
NEPaPC01-19,NEPaPC01-19-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,33,0.66,0.018,Amphipod,NA,NA,NA,Tube dwelling,NEPaPC01-017,CL,20220708
NEPaPC01-19,NEPaPC01-19-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,33,0.66,0.018,Cladocera,NA,NA,NA,,NEPaPC01-017,CL,20220708
NEPaPC01-19,NEPaPC01-19-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,SPHPAR,33,0.66,0.018,SAV,NA,NA,NA,Seagrass,NEPaPC01-017,CL,20220708
NEPaPC01-20,NEPaPC01-20-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,37,0.74,0.023,Crustacean,NA,NA,NA,Fragments,,CL,20220708
NEPaPC01-21,NEPaPC01-21-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,38,0.62,0.033,Crustacean,NA,NA,NA,Appendages,,CL,20220708
NEPaPC01-22,NEPaPC01-22-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,38,0.57,0.0094,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC01-23,NEPaPC01-23-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,33,0.45,0.039,Amphipod,Gammaridae,NA,NA,Gammarid,NEPaPC01-018,CL,20220708
NEPaPC01-23,NEPaPC01-23-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,33,0.45,0.039,Crustacean,NA,NA,NA,Eyes,NEPaPC01-018,CL,20220708
NEPaPC01-24,NEPaPC01-24-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,37,0.61,0.025,Crustacean,Megalopae,NA,NA,crab Larvae,NEPaPC01-019,CL,20220708
NEPaPC01-24,NEPaPC01-24-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,37,0.61,0.025,Sediment,NA,NA,NA,,NEPaPC01-019,CL,20220708
NEPaPC01-25,NEPaPC01-25-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,36,0.43,0.054,Crustacean,NA,NA,NA,Eyes,,CL,20220708
NEPaPC01-26,NEPaPC01-26-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,37,0.57,0.012,Polychaete,NA,NA,NA,,NEPaPC01-020,CL,20220708
NEPaPC01-26,NEPaPC01-26-2022,MB,NA,NEPaPC01,2022,20220607,NEPaP,CT,LAGRHO,37,0.57,0.012,Unidentifiable,NA,NA,NA,,NEPaPC01-020,CL,20220708
NEPaPC02-01,NEPaPC02-01-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,ARIFEL,151,28.95,1.77,Crustacean,Shrimp,NA,NA,Eyes,,CL,20220708
NEPaPC02-01,NEPaPC02-01-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,ARIFEL,151,28.95,1.77,Unidentifiable,NA,NA,NA,,,CL,20220708
NEPaPC02-01,NEPaPC02-01-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,ARIFEL,151,28.95,1.77,Sediment,NA,NA,NA,,,CL,20220708
NEPaPC02-01,NEPaPC02-01-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,ARIFEL,151,28.95,1.77,Bivalve,NA,NA,NA,Shell,,CL,20220708
NEPaPC02-02,NEPaPC02-02-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,76,4.95,0.47,Crustacean,Megalopae,NA,NA,Larvae,,CL,20220708
NEPaPC02-02,NEPaPC02-02-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,76,4.95,0.47,Crustacean,NA,NA,NA,Eyes,,CL,20220708
NEPaPC02-02,NEPaPC02-02-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,76,4.95,0.47,SAV,NA,NA,NA,Seagrass,,CL,20220708
NEPaPC02-02,NEPaPC02-02-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,76,4.95,0.47,Sediment,NA,NA,NA,,,CL,20220708
NEPaPC02-02,NEPaPC02-02-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,76,4.95,0.47,Fish,NA,NA,NA,Scales,,CL,20220708
NEPaPC02-03,NEPaPC02-03-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,73,4.06,0.39,Crustacean,NA,NA,NA,Eyes,,CL,20220708
NEPaPC02-03,NEPaPC02-03-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,73,4.06,0.39,SAV,NA,NA,NA,Seagrass,,CL,20220708
NEPaPC02-03,NEPaPC02-03-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,73,4.06,0.39,Sediment,NA,NA,NA,,,CL,20220708
NEPaPC02-04,NEPaPC02-04-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,71,5.14,0.0014,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC02-05,NEPaPC02-05-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,39,0.81,0.061,Crustacean,NA,NA,NA,Eyes,,CL,20220708
NEPaPC02-05,NEPaPC02-05-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,39,0.81,0.061,Sediment,NA,NA,NA,,,CL,20220708
NEPaPC02-06,NEPaPC02-06-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,36,0.59,0.053,Crustacean,NA,NA,NA,Eyes,,CL,20220708
NEPaPC02-06,NEPaPC02-06-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,36,0.59,0.053,Unidentifiable,NA,NA,NA,,,CL,20220708
NEPaPC02-07,NEPaPC02-07-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,30,0.38,0.058,Crustacean,Penaeidae,NA,NA,"Penaid, abdomen fragments and eyes",NEPaPC02-020,CL,20220708
NEPaPC02-07,NEPaPC02-07-2022,MB,NA,NEPaPC02,2022,20220607,NEPaP,CT,LAGRHO,30,0.38,0.058,Sediment,NA,NA,NA,,NEPaPC02-020,SK,20220713
NEPaPC02-22,NEPaPC02-22-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,51,1.52,0.0314,Crustacean,Shrimp,NA,NA,"Eyes, tissue",,CL,20220708
NEPaPC02-22,NEPaPC02-22-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,51,1.52,0.0314,Crustacean,Alpheidae,NA,NA,Snapping shrimp,,CL,20220708
NEPaPC02-08,NEPaPC02-08-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,54,1.67,0.0335,Crustacean,Shrimp,NA,NA,"Tail, legs",,CL,20220711
NEPaPC02-09,NEPaPC02-09-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,52,1.67,0.0331,Amphipod,NA,NA,2,Tube dwelling,,CL,20220711
NEPaPC02-09,NEPaPC02-09-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,52,1.67,0.0331,Crustacean,Alpheidae,NA,2,Snapping shrimp,,CL,20220711
NEPaPC02-09,NEPaPC02-09-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,52,1.67,0.0331,Crustacean,Shrimp,NA,NA,Eyes,,CL,20220711
NEPaPC02-10,NEPaPC02-10-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,48,1.22,0.0141,Empty,Empty,NA,NA ,,,CL,20220711
NEPaPC02-11,NEPaPC02-11-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,56,2,0.0418,Amphipod,NA,NA,3,Tube dwelling,,CL,20220711
NEPaPC02-11,NEPaPC02-11-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,56,2,0.0418,Copepod,NA,NA,2,,,CL,20220711
NEPaPC02-12,NEPaPC02-12-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,51,1.41,0.0371,Crustacean,Shrimp,NA,NA,Fragments,,CL,20220711
NEPaPC02-13,NEPaPC02-13-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,46,0.9,0.0102,Amphipod,NA,NA,1,Tube dwelling,,CL,20220711
NEPaPC02-13,NEPaPC02-13-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,46,0.9,0.0102,Crustacean,Shrimp,NA,NA,"Shell fragments, legs",,CL,20220711
NEPaPC02-14,NEPaPC02-14-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,44,0.94,0.009,Empty,Empty,NA,NA,,,CL,20220711
NEPaPC02-15,NEPaPC02-15-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,45,0.95,0.0178,Isopod,NA,NA,1,Mostly empty,,CL,20220711
NEPaPC02-16,NEPaPC02-16-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,46,1.07,0.011,Amphipod,NA,NA,3,Tube dwelling,,CL,20220711
NEPaPC02-17,NEPaPC02-17-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,43,0.71,0.0132,Fish,NA,NA,NA,"Otoliths, Eye lenses, Bones, scales ",,CL,20220711
NEPaPC02-18,NEPaPC02-18-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,40,0.8,0.0069,Empty,Empty,NA,NA,,,CL,20220711
NEPaPC02-19,NEPaPC02-19-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,40,0.69,0.0099,Empty,Empty,NA,NA,,,CL,20220711
NEPaPC02-20,NEPaPC02-20-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,42,0.71,0.0105,Empty,Empty,NA,NA,,,CL,20220711
NEPaPC02-21,NEPaPC02-21-2022,CL,20220706,NEPaPC02,2022,20220607,NEPaP,CT,BAICHR,40,0.6,0.0049,Amphipod,NA,NA,NA,"Tube dwelling, Mostly empty",,CL,20220711
NEPaPC03-01,NEPaPC03-01-2022,KH,20220706,NEPaPC03,2022,20220607,NEPaP,CT,BAICHR,52,1.55,0.0133,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC03-02,NEPaPC03-02-2022,KH,20220706,NEPaPC03,2022,20220607,NEPaP,CT,BAICHR,46,1.06,0.0186,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC03-03,NEPaPC03-03-2022,KH,20220706,NEPaPC03,2022,20220607,NEPaP,CT,BAICHR,38,0.61,0.0157,Detritus,NA,NA,NA,,,CL,20220708
NEPaPC03-04,NEPaPC03-04-2022,KH,20220706,NEPaPC03,2022,20220607,NEPaP,CT,BAICHR,43,0.85,0.0176,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC03-05,NEPaPC03-05-2022,KH,20220706,NEPaPC03,2022,20220607,NEPaP,CT,BAICHR,42,0.76,0.0159,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC04-01,NEPaPC04-01-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,45,1.12,0.0134,Amphipod,NA,NA,NA,"Tube dwelling, mostly empty",,CL,20220708
NEPaPC04-02,NEPaPC04-02-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,41,0.75,0.0095,Crustacean,Alpheidae,NA,1,Snapping shrimp molt,NEPaPC04-001,CL,20220708
NEPaPC04-03,NEPaPC04-03-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,51,1.21,0.0207,Crustacean,Shrimp,NA,6,Tail fragments,,CL,20220708
NEPaPC04-03,NEPaPC04-03-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,51,1.21,0.0207,Crustacean,Shrimp,NA,NA,"Digested tissue, legs",,CL,20220708
NEPaPC04-04,NEPaPC04-04-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,46,1.04,0.0084,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC04-05,NEPaPC04-05-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,44,0.9,0.0222,Crustacean,Penaeidae,NA,NA,"Eyes, penaeid",,CL,20220708
NEPaPC04-06,NEPaPC04-06-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,47,1.11,0.0252,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC04-07,NEPaPC04-07-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,42,0.81,NA,Empty,Empty,NA,NA,,,CL,20220708
NEPaPC04-08,NEPaPC04-08-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,39,0.57,0.0091,Crustacean,Shrimp,NA,NA,"Legs, fragments",,CL,20220708
NEPaPC04-09,NEPaPC04-09-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,37,0.55,0.0059,Crustacean,Shrimp,NA,NA,"Legs, fragments",,CL,20220708
NEPaPC04-10,NEPaPC04-10-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,42,0.73,0.0064,Amphipod,NA,NA,2,Tube dwelling  ,,CL,20220708
NEPaPC04-11,NEPaPC04-11-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,40,0.7,0.006,Amphipod,NA,NA,5,"5 Tube dwelling amphipods in intestines, empty stomach",,CL,20220708
NEPaPC04-12,NEPaPC04-12-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,41,0.71,0.0073,Amphipod,NA,NA,3,"3 tube dwelling amphipods,",,CL,20220708
NEPaPC04-12,NEPaPC04-12-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,41,0.71,0.0073,Crustacean,Shrimp,NA,1,1 shrimp leg in stomach,,SK,20230804
NEPaPC04-13,NEPaPC04-13-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,BAICHR,39,0.48,0.0047,Amphipod,NA,NA,1,tube dwelling,,CL,20220708
NEPaPC04-14,NEPaPC04-14-2022,"CL,KH",20220705,NEPaPC04,2022,20220607,NEPaP,CT,LAGRHO,87,11.36,0.2138,Detritus,NA,NA,NA,,,CL,20220708
BPC01-01,BPC01-01-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,145,46.19,0.4266,Bivalve,NA,NA,1,Crushed shell,,CL,20220711
BPC01-01,BPC01-01-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,145,46.19,0.4266,Crustacean,Paleomonidae,NA,NA,grass shrimp eyes,,CL,20220711
BPC01-01,BPC01-01-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,145,46.19,0.4266,Crustacean,Shrimp,NA,17,Tails,,CL,20220711
BPC01-02,BPC01-02-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,55,1.93,0.0923,Crustacean,Paleomonidae,NA,NA,grass shrimp eyes,,CL,20220711
BPC01-02,BPC01-02-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,55,1.93,0.0923,Crustacean,Shrimp,NA,7,Tails,,CL,20220711
BPC01-03,BPC01-03-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,52,1.59,0.0577,Crustacean,Paleomonidae,NA,NA,grass shrimp eyes,,CL,20220711
BPC01-03,BPC01-03-2022,KH,20220706,BPC01,2022,20220623,BP,CT,BAICHR,52,1.59,0.0577,Crustacean,Shrimp,NA,1,Tail,,CL,20220711
CIT07-01,CIT07-01-2022,KH,20220706,CIT07,2022,20220617,CI,LS,BAICHR,38,0.57,0.0176,Empty,Empty,NA,NA,,,CL,20220711
CIT08-01,CIT08-01-2022,KH,20220706,CIT08,2022,20220617,CI,LS,LAGRHO,79,6.48,0.1667,Detritus,NA,NA,NA,detritus,,CL,20220711
CIT08-01,CIT08-01-2022,KH,20220706,CIT08,2022,20220617,CI,LS,LAGRHO,79,6.48,0.1667,Crustacean,Penaeidae,NA,NA,"Penaid shrimp, eyes",,CL,20220711
CIT08-02,CIT08-02-2022,KH,20220706,CIT08,2022,20220617,CI,LS,LAGRHO,172,84.05,1.377,Crustacean,Penaeidae,NA,1,PARTIALLY DIGESTED,,CL,20220711
CIT08-02,CIT08-02-2022,KH,20220706,CIT08,2022,20220617,CI,LS,LAGRHO,172,84.05,1.377,Crustacean,Paleomonidae,NA,2,"1 WHOLE GRASS SHRIMP, 1 PARTIALLY DIGESTED",,CL,20220711
CIT10-01,CIT10-01-2022,KH,20220706,CIT10,2022,20220617,CI,LS,LAGRHO,63,3.83,NA,Detritus,NA,NA,NA,,,CL,20220711
CIT10-01,CIT10-01-2022,KH,20220706,CIT10,2022,20220617,CI,LS,LAGRHO,63,3.83,NA,Unknown,NA,NA,1,Unidentifiable obj. ,CIT10-001,CL,20220711
CIT10-02,CIT10-02-2022,KH,20220706,CIT10,2022,20220617,CI,LS,LAGRHO,171,74.38,2.1724,Detritus,NA,NA,NA,,,CL,20220711
CIT10-02,CIT10-02-2022,KH,20220706,CIT10,2022,20220617,CI,LS,LAGRHO,171,74.38,2.1724,Bivalve,NA,NA,1,Shell,,CL,20220711
CIT10-02,CIT10-02-2022,KH,20220706,CIT10,2022,20220617,CI,LS,LAGRHO,171,74.38,2.1724,Crustacean,Shrimp,NA,NA,Fragments,,CL,20220711
CIT10-02,CIT10-02-2022,KH,20220706,CIT10,2022,20220617,CI,LS,LAGRHO,171,74.38,2.1724,Crustacean,Paleomonidae,NA,NA,Grass shrimp eyes,,CL,20220711
CIT11-01,CIT11-01-2022,KH,20220706,CIT11,2022,20220617,CI,LS,BAICHR,56,1.98,0.0495,Copepod,NA,NA,1,,,CL,20220711
CIT11-01,CIT11-01-2022,KH,20220706,CIT11,2022,20220617,CI,LS,BAICHR,56,1.98,0.0495,Crustacean,Paleomonidae,NA,NA,Grass shrimp eyes,,CL,20220711
CIT11-01,CIT11-01-2022,KH,20220706,CIT11,2022,20220617,CI,LS,BAICHR,56,1.98,0.0495,Unidentifiable,NA,NA,1,Unidentifiable obj.,CIT11-001,CL,20220711
CIC02-01,CIC02-01-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,79,7.21,0.1912,Detritus,NA,NA,NA,,,CL,20220711
CIC02-01,CIC02-01-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,79,7.21,0.1912,Crustacean,Paleomonidae,NA,NA,Grass shrimp eyes,,CL,20220711
CIC02-01,CIC02-01-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,79,7.21,0.1912,Crustacean,Shrimp,NA,5,Tail fragments,,CL,20220711
CIC02-02,CIC02-02-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,71,5.26,0.1191,Detritus,NA,NA,NA,,,CL,20220711
CIC02-02,CIC02-02-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,71,5.26,0.1191,Crustacean,Paleomonidae,NA,NA,Grass shrimp eyes,,CL,20220711
CIC02-03,CIC02-03-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,54,2.17,0.0417,Unidentifiable,NA,NA,1,Crustacean eye lens,CIC02-03-001,CL,20220711
CIC02-03,CIC02-03-2022,KH,20220706,CIC02,2022,20220617,CI,CT,LAGRHO,54,2.17,0.0417,Detritus,NA,NA,NA,,,CL,20220711
CIC04-01,CIC04-01-2022,KH,20220707,CIC04,2022,20220616,CI,CT,BAICHR,46,0.98,0.0107,Crustacean,Shrimp,NA,NA,Eyes and tail,,CL,20220711
CIC04-01,CIC04-01-2022,KH,20220707,CIC04,2022,20220616,CI,CT,BAICHR,46,0.98,0.0107,Unidentifiable,NA,NA,NA,digested tissue,,CL,20220711
CIC04-02,CIC04-02-2022,KH,20220707,CIC04,2022,20220616,CI,CT,BAICHR,44,0.83,0.0189,Copepod,NA,NA,9,,,CL,20220711
